date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctchg,isst,MACD,Signal,WMS(5),WMS(10),RSV,K,D,J,RSI(5),RSI(14),PSY(10),PSY(20),OBV,OBV(30)
2014-02-14,sz.399967,6462.899,6551.989,6436.544,6551.644,6471.531,498143049.0,7793143017.0,3,0.012821,1,1.237919,0.0,171.80410470898732,123.66578203252648,63.32911719071083,27.58337889557136,72.41662110442863,78.21231192572,83.67717714788672,67.28258148138656,49.36932344242574,76.15482323054127,60.0,60.0,2888916313.0,990599151.7
2014-02-17,sz.399967,6597.647,6817.341,6597.647,6817.341,6551.644,901863111.0,13993747226.0,3,0.023211,1,4.055429,0.0,191.63038986536407,137.25870359909402,0.0,0.0,100.0,85.47530606218233,84.27658905963284,87.87274006728131,57.1687236012634,79.15236094530357,70.0,65.0,3790779424.0,1098696690.6333334
2014-02-18,sz.399967,6829.017,6829.244,6743.06,6784.391,6817.341,752076738.0,12035877714.0,3,0.017816,1,-0.483329,0.0,202.35149202645331,150.2772612845659,11.421695951107738,6.140066283639783,92.97050945900834,87.97380614037766,85.50904356103543,92.90333129906216,59.92919589136716,75.13843266072263,70.0,60.0,3038702686.0,1165869021.5
2014-02-19,sz.399967,6767.651,6782.183,6665.571,6707.744,6784.391,621326720.0,9927730307.0,3,0.014719,1,-1.129755,0.0,202.33092543441217,160.68799411453514,30.939648586707424,19.04182776470885,78.6054259457194,84.85093029380549,85.28966668009791,83.97345752122064,52.11537389212817,70.4693420474357,60.0,55.00000000000001,2417375966.0,1224244247.1666667
2014-02-20,sz.399967,6707.317,6729.471,6565.183,6572.722,6707.744,561373280.0,8642729028.0,3,0.013298,1,-2.01292,0.0,189.2380607205978,166.39800743574767,65.32263814616758,45.170196918124816,34.67736185383243,68.1261131078804,79.5683814559943,45.2415764116526,58.56927759307212,63.0261685529258,50.0,55.00000000000001,1856002686.0,1250797565.4333334
2014-02-21,sz.399967,6562.337,6631.865,6521.686,6584.677,6572.722,488442769.0,7588413397.0,3,0.011571,1,0.181889,0.0,177.77723439814326,168.6738528282268,79.51898503696864,62.27832951362366,37.72167048637634,57.991179977773264,72.37589656689617,29.22174679952744,53.16243865732536,64.23708857166963,50.0,60.0,2344445455.0,1308478841.6666667
2014-02-24,sz.399967,6549.605,6568.922,6481.735,6562.506,6584.677,537496697.0,8488664893.0,3,0.012733,1,-0.336704,0.0,165.00337634609969,167.9397575318014,76.75714873571602,67.92411510058557,32.07588489941444,49.35268070909481,64.70143124636321,18.65517963455801,4.288866168002983,65.17668423186058,40.0,60.0,1806948758.0,1363563760.5333333
2014-02-25,sz.399967,6565.988,6615.047,6146.274,6185.103,6562.506,789590222.0,12913166218.0,3,0.018702,1,-5.750902,0.0,123.00876532132315,158.95355908970575,93.89393765460156,94.31468439316518,5.685315606834819,34.796816431459064,54.73317432265449,-5.075899350931792,1.918330931742389,48.98916723805018,40.0,55.00000000000001,1017358536.0,1382298862.1
2014-02-26,sz.399967,6132.013,6179.466,5983.299,6178.447,6185.103,528895016.0,8230816049.0,3,0.012527,1,-0.107609,0.0,88.174232292552,144.797693730275,73.84678063502781,76.93136078586666,23.06863921413333,30.887410433734573,46.78455872449061,-0.9068861477774988,2.1610355617336694,46.24094448754161,30.0,50.0,488463520.0,1368310464.4
2014-02-27,sz.399967,6191.405,6327.808,6125.254,6128.184,6178.447,645693550.0,9590268514.0,3,0.015293,1,-0.813532,0.0,55.86780063419792,127.0117151110596,77.66071610291007,82.87300001773161,17.126999982268384,26.30059631850292,39.9565554297453,-1.0113219039818515,2.552044197007973,35.777131529215424,30.0,45.0,-157230030.0,1346340562.6333334
2014-02-28,sz.399967,6142.61,6207.676,6033.248,6206.104,6128.184,488419244.0,7630388584.0,3,0.011568,1,1.271509,0.0,36.13566414250545,108.83650491734876,64.73198173955431,73.66199930255509,26.33800069744491,26.31306446408286,35.40871808047884,8.1217572312909,14.580483633444572,31.68357015092509,30.0,45.0,331189214.0,1353192695.4333334
2014-03-03,sz.399967,6278.973,6378.076,6272.663,6377.193,6206.104,630637102.0,9523591557.0,3,0.014937,1,2.756784,0.0,33.91233596078018,93.85167112603506,37.65013897946642,53.4373984124263,49.30553121604641,33.97722794324918,34.93155420985563,32.06857541003629,36.44046589427378,40.60227882930731,30.0,50.0,961826316.0,1391933833.3666666
2014-03-04,sz.399967,6358.625,6451.656,6314.186,6417.613,6377.193,685672843.0,10025879272.0,3,0.01624,1,0.63382,0.0,35.00833426899135,82.08300375462632,7.268600661461165,45.634910700427056,58.20561479122784,42.05336243895354,37.305491916550594,51.54910348375944,83.56595100881198,41.581526117835125,40.0,55.00000000000001,1647499159.0,1441460986.8666666
2014-03-05,sz.399967,6433.039,6442.719,6336.216,6348.866,6417.613,566745601.0,8420215041.0,3,0.013423,1,-1.071217,0.0,29.983975857829137,71.66319817526688,24.566929886617817,51.0076765142621,56.36542772824972,46.824053052936655,40.478347081342434,59.515464996125104,70.86223401780924,45.67182737695768,40.0,50.0,1080753558.0,1455665601.1333334
2014-03-06,sz.399967,6331.713,6331.713,6196.989,6287.761,6348.866,474196891.0,6732426205.0,3,0.011231,1,-0.962463,0.0,20.83134205013539,61.49682695024059,39.17109615494909,53.056126901502616,48.19358351747859,47.28056334712338,42.74575319534373,56.350183650682695,69.02983917706743,40.56242824801777,40.0,45.0,606556667.0,1467709748.0666666
2014-03-07,sz.399967,6291.041,6346.873,6243.073,6271.85,6287.761,465699648.0,6736105383.0,3,0.01103,1,-0.253041,0.0,12.153827334133894,51.62822702701925,70.60435784769889,54.32498401261254,45.67501598738747,46.74538078497652,44.07896266317597,52.0782170285776,59.20111287758348,26.247040084162197,30.0,40.0,140857019.0,1478391953.5666666
2014-03-10,sz.399967,6216.245,6216.245,5976.614,5996.75,6271.85,582538723.0,7847288761.0,3,0.013798,1,-4.386275,0.0,-16.728599606712123,37.956861700272974,95.76121690292638,96.8460276959367,4.238783097073608,32.57651296690859,40.244812244292405,17.239914412140962,8.762516719671012,21.675924134553213,30.0,35.0,-441681704.0,1481120618.1666667
2014-03-11,sz.399967,5977.112,6012.46,5892.405,5965.818,5996.75,424587110.0,5793314762.0,3,0.010056,1,-0.515807,0.0,-41.63415234262629,22.03865889169312,86.65979786085754,86.87297832279238,13.12702167720763,26.09334861735229,35.52765727537027,7.224731301316339,0.0,22.41283146946444,30.0,35.0,-866268814.0,1458546708.9666667
2014-03-12,sz.399967,5965.803,6002.796,5835.825,5939.247,5965.818,380587300.0,5135100794.0,3,0.009014,1,-0.445392,0.0,-62.79221044235783,5.0724850248829325,79.76276201061339,83.20610687022894,16.793893129771067,22.99352993459818,31.34961457654445,6.281360650705643,0.0,24.3790258064151,30.0,30.0,-1246856114.0,1402408410.233333
2014-03-13,sz.399967,5950.512,6057.824,5941.006,6054.978,5939.247,442937232.0,6242184922.0,3,0.010491,1,1.94858,0.0,-69.42135327898632,-9.826282635890918,57.11694400525971,64.41345109291345,35.58654890708655,27.1912030941512,29.96347736003155,21.646654562390506,24.92886299260084,30.23539218473769,40.0,35.0,-803918882.0,1343211966.7
2014-03-14,sz.399967,6020.876,6044.235,5959.594,6011.216,6054.978,357816720.0,5018015801.0,3,0.008475,1,-0.722731,0.0,-77.31498537857897,-23.32402318442853,53.895431365332925,71.5196214545873,28.4803785454127,27.62092825608677,29.18262763779269,24.497529492674936,23.51797210300427,29.755950676037912,30.0,30.0,-1161735602.0,1254559544.9
2014-03-17,sz.399967,6038.774,6142.045,6003.925,6138.903,6011.216,447734907.0,6522929297.0,3,0.010605,1,2.124138,0.0,-72.43251496796256,-33.14572154113534,1.026059695643597,50.7855239505643,49.9391986079942,35.06035183962225,31.141869073402912,42.89731737206092,70.6208313145703,47.92246383198399,30.0,30.0,-714000695.0,1197346408.1
2014-03-18,sz.399967,6140.625,6180.626,6115.534,6125.266,6138.903,426582694.0,6157398197.0,3,0.010104,1,-0.222136,0.0,-68.86962772354309,-40.29050277761689,16.055637889681446,52.30781652150134,56.63675427748469,42.25248607123108,34.845408116786246,57.06664198012075,74.35153395970522,47.62346106580268,20.0,30.0,-1140583389.0,1138461523.1666667
2014-03-19,sz.399967,6102.74,6141.453,6045.322,6139.489,6125.266,480557398.0,6351062112.0,3,0.011382,1,0.232197,0.0,-64.15875449531086,-45.06415312115568,17.167598697938672,40.580141200043855,59.41985879995615,47.97494369290716,39.22192001024125,65.48099105823897,81.78040883697298,50.52200935507253,30.0,35.0,-660025991.0,1080153927.733333
2014-03-20,sz.399967,6127.222,6160.244,5937.916,5940.968,6139.489,559333280.0,7443539076.0,3,0.013248,1,-3.233502,0.0,-75.57317855301699,-51.16595820752795,98.74253224012207,79.4260030368967,27.63866253088692,41.196183269686365,39.88000776687295,43.82853427531319,35.67101525777339,38.98420854951985,30.0,35.0,-1219359271.0,985908626.2666668
2014-03-21,sz.399967,5910.928,6044.831,5838.971,6035.834,5940.968,591978212.0,7597049703.0,3,0.014021,1,1.596814,0.0,-76.08721246087225,-56.150209058196815,42.37959344953245,47.42416276746754,58.00708234604882,46.799816314914274,42.18661062435946,56.02622769602391,52.74182842021316,34.85827434566491,40.0,35.0,-627381059.0,887045923.9
2014-03-24,sz.399967,6028.84,6055.903,6001.297,6030.431,6035.834,501174871.0,6585424624.0,3,0.01187,1,-0.089529,0.0,-76.05386338627522,-60.1309399238125,43.96101330289336,43.559908468943085,56.44009153105692,50.01324139452138,44.79548755388413,60.44874907579589,33.396295729373875,32.275067844965534,40.0,35.0,-1128555930.0,739546386.1666666
