真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,MSE,MAPE
[2744.069 2794.381 2795.309 2785.872 2780.964 2723.257 2705.191 2668.966],2780.5076,2767.409,2766.275,2762.067,2743.5078,2738.88,2743.169,2739.5708,1442.417,0.012695191
[2794.381 2795.309 2785.872 2780.964 2723.257 2705.191 2668.966 2698.465],2758.8135,2764.144,2782.2217,2772.642,2770.245,2786.7058,2780.176,2774.7322,3669.472,0.018187275
[2795.309 2785.872 2780.964 2723.257 2705.191 2668.966 2698.465 2733.826],2813.0137,2831.7007,2836.4094,2845.2974,2862.0928,2871.9602,2864.407,2857.3657,16125.667,0.04103467
[2785.872 2780.964 2723.257 2705.191 2668.966 2698.465 2733.826 2714.608],2807.57,2827.3606,2858.534,2871.1594,2887.198,2895.136,2887.63,2892.9883,23781.08,0.05151482
[2780.964 2723.257 2705.191 2668.966 2698.465 2733.826 2714.608 2724.624],2787.9653,2791.9846,2794.786,2796.7195,2793.9092,2781.4436,2770.0078,2763.4766,5634.547,0.024524536
[2723.257 2705.191 2668.966 2698.465 2733.826 2714.608 2724.624 2729.43 ],2769.7798,2760.674,2741.7751,2723.6523,2711.8135,2698.686,2687.4878,2691.3303,1843.3796,0.014464123
[2705.191 2668.966 2698.465 2733.826 2714.608 2724.624 2729.43  2780.899],2708.78,2691.0994,2673.4597,2659.5896,2647.5427,2635.5989,2639.823,2640.127,5863.554,0.023358919
[2668.966 2698.465 2733.826 2714.608 2724.624 2729.43  2780.899 2777.98 ],2685.79,2674.989,2662.5107,2652.3325,2647.0896,2646.2112,2651.7588,2663.6643,6560.0557,0.02632071
[2698.465 2733.826 2714.608 2724.624 2729.43  2780.899 2777.98  2769.294],2657.9177,2659.6228,2666.175,2664.1338,2672.5015,2692.2283,2701.071,2707.5413,4248.34,0.023117341
[2733.826 2714.608 2724.624 2729.43  2780.899 2777.98  2769.294 2737.736],2687.5164,2676.6372,2662.121,2652.523,2646.9314,2655.5376,2653.8303,2655.0908,8313.646,0.030771988
[2714.608 2724.624 2729.43  2780.899 2777.98  2769.294 2737.736 2725.249],2748.668,2752.2053,2766.6775,2784.2366,2801.6824,2798.3855,2808.5273,2810.866,2133.6404,0.01422848
[2724.624 2729.43  2780.899 2777.98  2769.294 2737.736 2725.249 2720.734],2727.8564,2739.5017,2743.3147,2750.319,2756.5225,2762.0327,2766.0408,2762.7544,809.08936,0.009030992
[2729.43  2780.899 2777.98  2769.294 2737.736 2725.249 2720.734 2750.58 ],2721.3257,2726.7378,2721.8596,2720.8977,2714.5645,2710.582,2710.1987,2713.7449,1338.8331,0.011404109
[2780.899 2777.98  2769.294 2737.736 2725.249 2720.734 2750.58  2704.336],2723.9456,2716.6003,2706.672,2691.229,2677.3547,2674.4802,2663.9207,2652.906,3460.4634,0.020909222
[2777.98  2769.294 2737.736 2725.249 2720.734 2750.58  2704.336 2691.592],2783.9321,2788.204,2783.346,2787.3826,2782.8376,2779.7415,2769.9294,2758.532,2478.073,0.016372876
[2769.294 2737.736 2725.249 2720.734 2750.58  2704.336 2691.592 2702.3  ],2775.067,2764.3633,2746.1062,2722.5532,2711.2769,2701.985,2688.9304,2678.4883,413.1276,0.005636438
[2737.736 2725.249 2720.734 2750.58  2704.336 2691.592 2702.3   2669.484],2769.734,2761.4329,2735.9387,2739.8484,2724.3877,2709.174,2698.0588,2705.3625,586.9941,0.007926464
[2725.249 2720.734 2750.58  2704.336 2691.592 2702.3   2669.484 2664.799],2713.6323,2690.9514,2675.9116,2662.3638,2645.8857,2633.129,2629.1204,2637.6306,2200.0046,0.015721224
