date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma_5,ma_10,ma_20,ema_12,ema_26,macd,signal,wms_5,wms_10,rsv,kdj_k,kdj_d,kdj_j,rsi_5,rsi_14,psy_10,psy_20,obv,BB_Middle,BB_Upper,BB_Lower,ATR,CCI,Aroon_Oscillator,MFI,Coppock_Curve,Force_Index,KC_Middle,KC_Upper,KC_Lower,ROC(14),Williams_%R,Aroon_Up,Aroon_Down,DPO,KST,PP,S1,R1,S2,R2,R3,S3,Center_Line,Upper_Band,Lower_Band,EMA,Bull_Power,Bear_Power,Up_Candle,Total_Range,IMI,Qstick
2009-02-13,sh.000037,2074.75,2124.7,2070.94,2123.56,2074.2900,361530000,4121000000.0000,3,0.034883,1,2.375272,0,2043.5940000000003,1966.759,1894.114,1972.4795429546743,1910.341006538394,62.13853641628043,35.16861408345063,0.5224325191328875,0.4031259945542182,99.57084776389102,94.91253233519244,91.62296252813604,101.49167194930521,100.0,85.48917183589073,90.0,70.0,3828720000,1894.114,2091.605507121859,1696.6224928781414,333.3199999999997,158.9449541708518,-92.85714285714286,89.81473048541575,0.2330522139391353,17812583099.999992,1894.114,1997.3254285714286,1790.9025714285715,0.1814292469887897,0.342013680547184,7.142857142857143,100.0,326.1099999999999,,2106.3999999999996,2088.0999999999995,2141.859999999999,2052.64,2160.1599999999994,2195.619999999999,2034.3399999999997,1930.7350000000001,2597.3749999999995,1264.0950000000007,1958.9742061333175,165.72579386668235,111.96579386668259,48.809999999999945,48.809999999999945,85.90356758735895,22.41357142857141
2009-02-16,sh.000037,2136.0,2142.29,2089.75,2130.07,2123.5600,333180000,3695000000.0000,3,0.031544,1,0.306561,0,2075.1459999999997,1993.0099999999998,1909.1225,1996.7242286539554,1926.6172282762907,70.10700037766469,42.15629134229344,6.222946478586244,4.314514705363061,95.6802997631589,95.16933448370293,92.80914978280899,99.8897038854908,100.0,84.707312597486,90.0,70.0,4161900000,1909.1225,2130.2728169553993,1687.9721830446003,340.0799999999999,139.69352357303455,-92.85714285714286,90.25385999379525,0.25312964231248564,2169001800.000073,1909.1225,2014.6767857142856,1803.5682142857142,0.16559686995540246,3.5932721712537647,7.142857142857143,100.0,302.6200000000001,,2120.7033333333334,2099.116666666667,2151.6566666666668,2068.1633333333334,2173.2433333333333,2204.1966666666667,2046.5766666666668,1952.3507142857143,2632.510714285714,1272.1907142857144,1981.7869786488752,160.50302135112474,107.96302135112478,0.0,5.929999999999836,83.55173421667965,19.678571428571413
2009-02-17,sh.000037,2132.32,2144.18,2076.53,2085.32,2130.0700,345920000,4010000000.0000,3,0.032750,1,-2.100870,0,2087.742,2012.4660000000003,1924.6605,2010.3543473225777,1938.3729891447135,71.9813581778642,48.121304709407596,35.99559686888439,20.668586277126106,79.33141372287389,89.87794383546307,91.82984473563313,85.97414203512298,70.65188877229805,77.00118851519008,80.0,70.0,4161900000,1924.6605,2149.637856285144,1699.683143714856,303.39999999999986,111.88074866277266,-85.71428571428572,81.81416034653094,0.2542785338169878,-15479920000.0,1924.6605,2034.4990714285714,1814.8219285714285,0.14180898304249512,19.40013183915613,7.142857142857143,92.85714285714286,258.99000000000024,,2102.01,2059.8400000000006,2127.4900000000002,2034.3600000000006,2169.66,2195.14,1992.190000000001,1970.8500000000001,2577.6499999999996,1364.0500000000004,1995.5913814956918,148.588618504308,80.93861850430835,0.0,47.0,73.90343381867068,14.986428571428567
2009-02-18,sh.000037,2049.94,2094.45,2032.45,2038.03,2085.3200,278560000,3119000000.0000,3,0.026373,1,-2.267759,0,2090.254,2025.321,1935.7,2014.6121400421812,1945.7549899488088,68.85715009337241,52.26847378620056,72.16670065946013,37.27438724629537,62.70727937043286,80.8072460979083,88.15004291651064,66.12165246070361,53.19365337672903,67.66588698756615,70.0,65.0,4161900000,1935.7,2160.150871426712,1711.2491285732879,303.39999999999986,75.16895647672429,-85.71428571428571,75.02149182152309,0.23661326129858118,-13173102400.000053,1935.7,2044.6,1826.8000000000002,0.09229136630882784,34.986816084377026,14.285714285714286,100.0,172.20000000000005,,2054.9766666666665,2015.503333333333,2077.503333333333,1992.9766666666667,2116.9766666666665,2139.5033333333326,1953.5033333333333,1983.1499999999999,2589.95,1376.3500000000001,2001.249863962933,93.20013603706684,31.200136037067068,0.0,11.910000000000082,71.85280826339573,14.023571428571424
2009-02-19,sh.000037,2056.74,2080.83,2034.64,2073.71,2038.0300,225120000,2625000000.0000,3,0.021313,1,1.750707,0,2090.138,2046.025,1948.6805,2023.7041184972302,1955.2331388414896,68.47097965574062,55.508974960108574,63.071690682896204,24.757588532883585,70.35213934115872,77.31866974957163,84.53591700375532,62.88417524120425,49.841961852861054,73.0472497601535,80.0,70.0,4387020000,1948.6805,2173.5485326418375,1723.8124673581624,302.26999999999975,72.45157335298194,-78.57142857142857,78.79897726603215,0.23140827583792256,8032281600.000014,1948.6805,2060.3347857142853,1837.0262142857143,0.12512682506008943,23.31359380686137,21.428571428571427,100.0,230.62000000000012,,2063.06,2045.29,2091.4799999999996,2016.8700000000001,2109.25,2137.6699999999996,1999.1000000000001,1999.6228571428571,2604.1628571428564,1395.0828571428576,2010.9112154345419,69.91878456545805,23.728784565458227,16.970000000000255,16.970000000000255,76.77046142721564,16.924285714285734
2009-02-20,sh.000037,2083.31,2127.75,2064.93,2122.49,2073.7100,254600000,3027000000.0000,3,0.024104,1,2.352307,0,2089.924,2066.7589999999996,1963.868,2038.901946420733,1967.6225359643422,71.2794104563909,58.663062059365046,19.41287031236024,9.12533131389628,89.0598204378089,81.23503661410743,83.43487853443695,76.83535277344839,49.70766624774598,74.29617063454242,80.0,70.0,4641620000,1963.868,2192.7778917731143,1734.9581082268858,285.1199999999999,88.01964566359334,-71.42857142857143,79.48338725154743,0.23982821502431476,12419387999.999935,1963.868,2080.7437142857143,1846.9922857142858,0.13650431579172806,7.607323232323254,28.571428571428573,100.0,254.92999999999984,,2105.056666666667,2082.3633333333337,2145.183333333334,2042.2366666666667,2167.876666666667,2208.003333333334,2019.5433333333335,2017.832142857143,2588.072142857143,1447.5921428571432,2025.7883867099363,101.96161329006372,39.14161329006356,39.179999999999836,39.179999999999836,77.9034026180599,18.54500000000001
2009-02-23,sh.000037,2119.73,2190.48,2105.48,2183.98,2122.4900,293230000,3504000000.0000,3,0.027762,1,2.897069,0,2100.7059999999997,2087.9260000000004,1983.1945,2061.2216469713894,1983.6490147817983,77.5726321895911,62.44497608541026,4.113143074099855,2.6578344782466474,96.90210656753408,86.45975009687508,84.44362409329969,90.49200210402586,61.32610613891336,76.0445534001279,80.0,75.0,4934850000,1983.1945,2218.1336087494797,1748.2553912505202,331.0799999999999,107.82135940124968,-85.71428571428572,80.10650873520785,0.2507451990244879,18030712700.00007,1983.1945,2107.661642857143,1858.7273571428573,0.15508049673147317,1.9632717168056064,7.142857142857143,92.85714285714286,293.22,,2159.98,2129.48,2214.48,2074.98,2244.98,2299.48,2044.48,2038.7764285714286,2700.936428571428,1376.6164285714287,2046.8806018152782,143.59939818472185,58.59939818472185,64.25,64.25,79.69342604298357,21.47428571428572
2009-02-24,sh.000037,2164.29,2187.58,2104.89,2105.5,2183.9800,315500000,3648000000.0000,3,0.029870,1,-3.593438,0,2104.7419999999997,2096.242,1997.0970000000002,2068.0337012834834,1992.6750136868502,75.35868759663322,65.02771838765486,53.77459975953935,40.50138213706989,56.05770722374477,76.32268730052238,81.73583085134119,65.49640019888474,53.71338142205208,65.7400269801503,70.0,70.0,4934850000,1997.0970000000002,2226.0624185886454,1768.1315814113548,331.0799999999999,83.5881149581965,-85.71428571428571,73.26569115473163,0.23515917399678893,-24760440000.000008,1997.0970000000002,2130.654142857143,1863.5398571428575,0.10265622054171808,25.667512383713916,14.285714285714286,100.0,196.01999999999998,,2132.6566666666663,2077.7333333333327,2160.4233333333327,2049.9666666666662,2215.3466666666664,2243.113333333333,1995.0433333333326,2052.777857142857,2714.937857142857,1390.6178571428572,2054.696521573241,132.88347842675876,50.1934784267587,0.0,58.789999999999964,70.6568123626723,16.250714285714302
2009-02-25,sh.000037,2119.52,2137.79,2045.34,2099.08,2105.5000,284360000,3046000000.0000,3,0.026922,1,-0.304912,0,2116.9519999999998,2103.603,2010.7345,2072.8100549321784,2000.5568645248613,72.2531904073171,66.47281279158732,58.64989733059557,47.26200941103472,42.16288046573429,64.93380171272656,76.13403139070674,42.53334235676621,63.22287199480181,69.82039604973644,60.0,70.0,4934850000,2010.7345,2229.1204739543723,1792.3485260456275,330.94000000000005,55.2188669741646,-78.57142857142857,72.49978122185233,0.22125419806585822,-1825591200.0000207,2010.7345,2150.1759285714284,1871.2930714285715,0.12450513481225922,27.618299389617476,21.428571428571427,100.0,232.40999999999985,,2094.07,2050.3500000000004,2142.8,2001.6200000000001,2186.5200000000004,2235.2500000000005,1957.9000000000003,2069.378571428572,2731.258571428572,1407.4985714285717,2060.614318696809,77.17568130319114,-15.274318696808905,0.0,20.440000000000055,72.97859969615696,17.50214285714287
2009-02-26,sh.000037,2092.65,2117.29,1948.93,1970.1,2099.0800,262530000,2781000000.0000,3,0.024726,1,-6.144601,0,2096.23,2093.1839999999997,2015.9479999999999,2057.0085080195354,1998.3008004859828,58.70770753355259,64.91979173998037,91.2357689919272,91.2357689919272,8.7642310080728,46.20810865447414,66.15739036223542,6.309545238951586,34.018201449946005,54.12048770977368,50.0,65.0,4934850000,2015.9479999999999,2224.52679819589,1807.3692018041095,283.99,-0.051525516159252,-71.42857142857143,66.6115650120284,0.1795925031408099,-33861119400.000004,2015.9479999999999,2171.4379999999996,1860.458,0.02869226953502335,77.60132399028139,28.571428571428573,100.0,54.94999999999982,,2012.1066666666666,1906.9233333333332,2075.283333333333,1843.7466666666667,2180.4666666666662,2243.643333333333,1738.5633333333333,2073.3035714285716,2641.2835714285716,1505.3235714285715,2048.5457428705677,68.7442571294323,-99.6157428705676,0.0,122.55000000000018,55.57147856226357,4.776428571428563
