真实,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8
3263.48,3271.07895,3279.5913499999997,3279.8312499999993,3268.22975,3255.9204,3251.0981,3249.8050999999996,3239.86135
3152.76,3248.8005,3236.236,3247.65485,3233.7198500000004,3241.6951,3229.3815,3234.3473000000004,3230.9091999999996
3133.721,3167.64495,3150.7593500000003,3166.1489,3141.8058,3149.2924000000003,3149.18025,3142.2402,3142.0954
3166.648,3145.7329,3141.4046500000004,3130.3677,3129.5273500000003,3131.78825,3133.4766,3130.0707,3129.4687999999996
3122.289,3151.0072,3142.8907000000004,3140.2698499999997,3139.80245,3126.9273000000003,3123.84235,3128.7877,3119.983
3160.53,3134.5168999999996,3139.7303,3143.7428,3137.98085,3137.3652,3143.9662,3144.7177,3138.28785
3168.896,3147.1657,3133.5576499999997,3128.3481500000003,3121.6904000000004,3121.3862499999996,3114.85655,3103.1190500000002,3099.9439
3163.179,3159.98335,3131.6785499999996,3127.94005,3137.3197499999997,3125.8158999999996,3129.3458,3119.84285,3116.5461
3136.633,3131.9509500000004,3152.03125,3143.7614000000003,3159.7381,3167.96515,3159.3728,3155.06,3154.57395
3131.111,3131.9401,3148.2945,3150.8120000000004,3148.9578,3135.5831499999995,3121.1174500000006,3113.70835,3106.50545
3138.293,3151.8041000000003,3148.304,3154.885,3161.35145,3151.90665,3149.9056499999997,3142.946,3141.8263500000003
3190.321,3136.89705,3141.1397,3150.5226000000002,3149.4209,3145.9897499999997,3140.7725,3147.1443,3146.6693
3208.081,3186.10365,3211.40335,3218.66215,3217.22955,3219.6357,3218.7591999999995,3218.0116500000004,3219.28735
3180.158,3212.384,3211.2591500000003,3213.00875,3223.5995000000003,3235.4674999999997,3240.4829,3241.77985,3240.7466499999996
3159.052,3190.6057,3212.4002,3214.1191,3214.9184999999998,3210.77595,3195.4087,3184.33865,3189.9419
3110.648,3142.3906500000003,3150.3588999999993,3133.2211499999994,3138.8481,3126.8107499999996,3124.44005,3123.9914500000004,3122.6650500000005
3066.796,3113.5419,3111.6344,3116.57615,3096.3816500000003,3104.6652999999997,3114.21005,3121.0227999999997,3119.6832999999997
3091.398,3066.3733,3057.44785,3042.2389000000003,3039.65675,3038.8367000000003,3035.06245,3028.0062,3019.5737
3117.376,3075.1075,3058.8246,3051.80015,3076.4522,3079.20035,3075.9399000000003,3075.6235,3074.6851
3071.542,3133.0751,3133.19985,3141.5526,3156.36035,3161.2228,3161.39025,3170.85415,3169.69845
3068.012,3063.72365,3082.6771,3079.3187,3078.7538999999997,3074.69625,3072.551,3060.0968000000003,3053.52265
3128.927,3066.9763,3085.4282999999996,3079.84905,3079.41345,3085.23855,3080.60945,3079.8058,3077.3879500000003
3117.973,3141.17505,3143.62415,3135.1603,3119.1127500000002,3114.864,3113.82715,3097.9211999999998,3097.39885
3075.03,3120.4354000000003,3112.4168,3117.3770999999997,3109.0771999999997,3096.8274499999998,3087.735,3087.80755,3077.4021999999995
3082.231,3081.7107000000005,3081.8297000000002,3077.0013,3067.20125,3062.63035,3059.86765,3053.2156000000004,3046.83385
3081.177,3093.86855,3090.3427,3080.2315,3078.1474,3073.1612,3063.3574,3051.62475,3051.528
3100.858,3089.25185,3090.8704000000002,3086.3560500000003,3078.4056499999997,3071.9566000000004,3068.0399500000003,3068.7276,3071.66375
3091.033,3111.3677,3111.52655,3135.52745,3131.53575,3130.1249,3142.4930000000004,3143.8143,3139.9363000000003
3136.644,3074.0445,3066.4729500000003,3045.36915,3021.6765,3017.6030499999997,3018.2223000000004,3012.8572999999997,3012.5874000000003
3161.497,3138.90925,3145.2064,3138.9957,3140.4101,3148.6658500000003,3139.6175,3141.6901,3141.2431500000002
3159.15,3163.7716,3171.5062500000004,3173.1959,3179.16335,3184.35815,3185.5149499999998,3187.3755499999997,3193.9858999999997
3174.412,3149.2242,3172.15105,3180.0542000000005,3185.2491,3183.7045,3198.2615,3207.16615,3215.10325
3163.263,3170.4959,3180.9664000000002,3185.9756499999994,3180.8914999999997,3188.5951000000005,3192.2776500000004,3200.3440499999997,3206.4656000000004
3174.032,3161.0524,3158.8364,3151.2722000000003,3153.8813499999997,3150.1249,3150.9949500000002,3151.4094999999998,3151.5273
3192.118,3177.19565,3180.79035,3193.8202499999998,3194.25385,3195.4231,3204.66055,3208.53805,3208.7128000000002
3169.565,3187.6447,3193.6087500000003,3197.9641,3198.3499500000003,3203.03865,3198.6806500000002,3210.9616,3210.8009
3154.282,3178.02325,3183.7936,3181.12545,3193.2156,3192.049400000001,3201.4122500000003,3203.1012,3209.2331
3193.303,3148.96595,3136.01865,3131.2568,3125.69635,3118.1783,3120.3946,3125.1349,3117.9759000000004
3213.84,3222.3957499999997,3249.75335,3252.10825,3263.9598,3265.3033000000005,3270.2511000000004,3274.6281499999996,3270.34065
3214.349,3214.5154,3213.9971,3215.3852,3231.2210999999998,3238.43525,3235.8694000000005,3237.48005,3238.9684500000003
3168.964,3212.3173999999995,3212.7516,3210.1123500000003,3212.675,3211.72955,3209.7905,3212.9211,3212.15815
3154.65,3167.8372,3163.0429,3160.18525,3151.2988,3147.389,3145.1733500000005,3145.04565,3144.08595
3141.303,3149.5741500000004,3146.57945,3129.1321,3126.7276,3127.86015,3117.9205,3116.5378,3119.94985
3135.082,3137.4261000000006,3109.3338999999996,3103.0951,3106.13685,3109.45175,3097.2023,3095.3148,3096.2005
3120.46,3120.1718499999997,3126.4467000000004,3120.2233,3121.5015000000003,3118.14595,3116.7649,3116.1669999999995,3114.2535
3041.443,3132.97795,3126.5955000000004,3124.0357000000004,3118.8018,3117.0103,3117.8965500000004,3113.91395,3114.2350000000006
3095.473,3041.9809999999998,3035.2024499999998,3034.57985,3016.5225,3012.6529499999997,3010.79195,3005.8717,3006.1469500000003
3075.137,3079.2509,3074.6803500000005,3051.1381,3043.60805,3032.46365,3024.9852499999997,3024.16515,3024.9922500000002
3091.19,3070.1058000000003,3070.0139,3085.2898,3070.7913500000004,3085.71185,3084.3602999999994,3080.9166999999998,3079.39845
3114.205,3123.3148,3127.4136,3111.5883,3115.712,3115.07,3122.7532499999998,3121.215,3116.3358000000003
3115.18,3111.1271500000003,3109.6451,3109.0069000000003,3101.11925,3088.6066,3079.9804500000005,3075.63785,3064.6908999999996
3109.498,3103.31805,3115.3194000000003,3115.08295,3116.2097500000004,3112.97295,3105.3723499999996,3090.8081,3091.84925
3067.147,3112.03425,3121.3871,3119.2375,3113.44035,3117.0202500000005,3115.496,3105.8516,3105.74575
3052.783,3057.11165,3034.9432500000003,3024.56525,3008.37275,2985.8650500000003,2976.7142,2971.7405500000004,2970.992
3079.801,3039.8404499999997,3008.71805,3000.9307,2996.94595,2988.2048000000004,2982.6381499999998,2980.52815,2981.99255
3049.796,3056.3244999999997,3065.1797,3072.98495,3066.52175,3072.4737,3068.68105,3074.5874000000003,3071.69765
3044.159,3049.3909000000003,3035.0934,3037.26865,3027.9019,2994.2940500000004,3005.6641,3004.38685,3005.02945
3021.9,3040.47695,3043.08775,3040.9719999999998,3027.4384,3034.4409,3036.2348,3038.04915,3040.72695
